Folha;Data_Contabil;Data_Lancamento;Historico;Detalhe;Lote;Banco;Origem;Documento;Valor;Tipo;Saldo;Eh_Cheque;Notas
4/4;29.11.2021;;002-Cheque;29/11 00:00 CENTENARIO DO SUL   PR;12162;;;851948;1.048,00;D;;Sim;
4/4;29.11.2021;;102-Cheque Compensado;;13079;341;1981;851944;1.904,48;D;;Sim;
4/4;29.11.2021;;102-Cheque Compensado;;13079;756;1981;851949;2.374,47;D;;Sim;
4/4;29.11.2021;;855-BB CP Automatico S Publico;;;;;070;5.326,95;C;0,00 C;Nao;
4/4;30.11.2021;;102-Cheque Compensado;;13079;1;1981;851930;4.892,00;D;;Sim;
4/4;30.11.2021;;855-BB CP Automatico S Publico;;;;;070;723,13;C;;Nao;
4/4;30.11.2021;;603-Cheque Devolvido sem Fundo;Cheque sem fundos - 2a apresentação;14079;;;851930;4.892,00;C;;Sim;
4/4;30.11.2021;;248-Estorno Resgate Automático;;;;;070;723,13;D;0,00 C;Nao;
2/2;21.08.2018;;002-Cheque;;19222;;;851493;3.000,00;D;;Sim;
2/2;21.08.2018;;002-Cheque;;19222;;;851494;660,00;D;;Sim;
2/2;21.08.2018;;102-Cheque Compensado;;13079;1;1981;851491;2.000,00;D;;Sim;
2/2;21.08.2018;;102-Cheque Compensado;;13079;756;1981;851492;900,00;D;;Sim;
2/2;21.08.2018;;855-BB CP Administrat Supremo;;;;;070;2.356,87;C;;Nao;
2/2;21.08.2018;;603-Cheque Devolvido sem Fundo;;14079;;;851492;900,00;C;;Sim;
2/2;21.08.2018;;248-Estorno Resgate Automático;;;;;070;2.356,87;D;;Nao;
2/2;21.08.2018;;855-BB CP Administrat Supremo;;;;;070;2.000,00;C;0,00 C;Nao;
2/2;22.08.2018;;202-Taxa BACEN Devolução Docum;;13113;;;851492;0,35;D;;Nao;
2/2;22.08.2018;;855-BB CP Administrat Supremo;;;;;070;1,00;C;;Nao;
2/2;22.08.2018;;345-BB CP Administrat Supremo;;;;;070;0,65;D;0,00 C;Nao;
2/2;23.08.2018;;275-Tarifa Devolução de Cheque;;13113;;;812350700043713;64,00;D;;Sim;
2/2;23.08.2018;;102-Cheque Compensado;;13079;756;1981;851492;900,00;D;;Sim;
2/2;23.08.2018;;855-BB CP Administrat Supremo;;;;;070;356,59;C;;Nao;
2/2;23.08.2018;;603-Cheque Devolvido sem Fundo;;14079;;;851492;900,00;C;;Sim;
2/2;23.08.2018;;248-Estorno Resgate Automático;;;;;070;356,59;D;;Nao;
2/2;23.08.2018;;855-BB CP Administrat Supremo;;;;;070;64,00;C;0,00 C;Nao;
2/2;24.08.2018;;202-Taxa BACEN Devolução Docum;;13113;;;851492;0,35;D;;Nao;
2/2;24.08.2018;;855-BB CP Administrat Supremo;;;;;070;1,00;C;;Nao;
2/2;24.08.2018;;345-BB CP Administrat Supremo;;;;;070;0,65;D;0,00 C;Nao;
2/2;27.08.2018;;870-Transferência recebida;;99015;;;551765000007852;1.300,00;C;;Nao;
2/2;27.08.2018;;002-Cheque;;19640;;;851496;900,00;D;;Sim;
2/2;27.08.2018;;275-Tarifa Devolução de Cheque;;13113;;;832390700044884;64,00;D;;Sim;
2/2;27.08.2018;;102-Cheque Compensado;;13079;756;1981;851495;400,00;D;;Sim;
2/2;27.08.2018;;855-BB CP Administrat Supremo;;;;;070;64,00;C;0,00 C;Nao;
2/2;28.08.2018;;870-Transferência recebida;;99015;;;551765000007852;560,35;C;;Nao;
2/2;28.08.2018;;002-Cheque;;12162;;;851497;560,35;D;0,00 C;Sim;
